SignalTime,ExitTime,Symbol,TradeType,Bias,Confidence,Entry,StopLoss,TakeProfit,Outcome
2026-01-06 22:45:00,,BTC-USD,PULLBACK_TREND,Bullish,75,93301.57,92254.64,95395.44,NO HIT
2026-01-07 12:30:00,,BTC-USD,PULLBACK_TREND,Bearish,75,91915.08,92228.94,91287.36,NO HIT
2026-01-07 13:00:00,,BTC-USD,PULLBACK_TREND,Bearish,75,91835.77,92227.43,91052.44,NO HIT
2026-01-07 13:30:00,2026-01-07 14:00:00,BTC-USD,PULLBACK_TREND,Bearish,75,92068.65,92231.56,91742.82,WIN
2026-01-07 14:15:00,,BTC-USD,BREAKOUT_TREND,Bearish,75,91470.88,92208.61,89847.85,NO HIT
2026-01-07 14:45:00,2026-01-07 15:15:00,BTC-USD,PULLBACK_TREND,Bearish,75,91896.5,92234.51,91220.49,WIN
2026-01-07 15:15:00,,BTC-USD,BREAKOUT_TREND,Bearish,75,91150.5,92205.19,88830.18,NO HIT
2026-01-07 17:45:00,,BTC-USD,PULLBACK_TREND,Bearish,75,91186.11,91736.18,90085.96,NO HIT
2026-01-07 18:15:00,,BTC-USD,PULLBACK_TREND,Bearish,80,91172.61,91731.6,90054.64,NO HIT
2026-01-07 18:45:00,,BTC-USD,BREAKOUT_TREND,Bearish,82,90691.76,91646.82,88590.63,NO HIT
2026-01-07 20:00:00,,BTC-USD,PULLBACK_TREND,Bearish,80,90933.14,91598.83,89601.75,NO HIT
2026-01-07 20:15:00,,BTC-USD,PULLBACK_TREND,Bearish,80,90808.81,91419.17,89588.09,NO HIT
2026-01-07 22:00:00,,BTC-USD,PULLBACK_TREND,Bearish,75,90918.8,91254.77,90246.87,NO HIT
2026-01-07 22:15:00,2026-01-07 23:15:00,BTC-USD,PULLBACK_TREND,Bearish,75,90980.73,91252.65,90436.88,LOSS
2026-01-07 23:30:00,,BTC-USD,PULLBACK_TREND,Bearish,75,91131.3,91407.45,90578.99,NO HIT
2026-01-08 06:45:00,,BTC-USD,BREAKOUT_TREND,Bearish,75,89940.03,91089.56,87411.07,NO HIT
2026-01-08 07:00:00,,BTC-USD,BREAKOUT_TREND,Bearish,75,89935.13,91092.08,87389.85,NO HIT
2026-01-08 08:30:00,,BTC-USD,PULLBACK_TREND,Bearish,75,90294.3,90627.65,89627.58,NO HIT
2026-01-08 11:00:00,2026-01-08 12:00:00,BTC-USD,PULLBACK_TREND,Bearish,86,90198.91,90418.24,89760.24,WIN
2026-01-08 11:15:00,,BTC-USD,PULLBACK_TREND,Bearish,75,90081.16,90418.24,89407.01,NO HIT
2026-01-08 11:45:00,,BTC-USD,PULLBACK_TREND,Bearish,75,90068.73,90418.02,89370.13,NO HIT
2026-01-08 14:15:00,2026-01-08 15:00:00,BTC-USD,BREAKOUT_TREND,Bearish,82,89428.5,90010.13,88148.92,LOSS
2026-01-09 07:30:00,2026-01-09 08:00:00,BTC-USD,PULLBACK_TREND,Bearish,75,90875.98,91063.87,90500.19,WIN
2026-01-09 07:45:00,2026-01-09 08:45:00,BTC-USD,BREAKOUT_TREND,Bearish,75,90687.08,91052.56,89883.02,WIN
2026-01-09 08:30:00,,BTC-USD,BREAKOUT_TREND,Bearish,86,90228.91,91058.57,88403.67,NO HIT
2026-01-09 08:45:00,,BTC-USD,BREAKOUT_TREND,Bearish,86,89845.13,91062.47,87166.99,NO HIT
2026-01-09 11:30:00,,BTC-USD,PULLBACK_TREND,Bearish,86,90401.91,90608.43,89988.89,NO HIT
2026-01-09 11:45:00,,BTC-USD,PULLBACK_TREND,Bearish,84,90337.78,90607.4,89798.54,NO HIT
2026-01-09 12:00:00,,BTC-USD,PULLBACK_TREND,Bearish,80,90299.55,90607.57,89683.53,NO HIT
2026-01-09 14:15:00,2026-01-09 14:45:00,BTC-USD,PULLBACK_TREND,Bearish,86,90476.62,90736.5,89956.87,WIN
2026-01-09 14:30:00,2026-01-09 15:15:00,BTC-USD,BREAKOUT_TREND,Bearish,86,90107.84,90721.11,88758.65,LOSS
2026-01-09 14:45:00,2026-01-09 15:15:00,BTC-USD,BREAKOUT_TREND,Bearish,82,90056.42,90721.34,88593.6,LOSS
2026-01-09 18:30:00,,BTC-USD,PULLBACK_TREND,Bearish,75,90773.0,91764.51,88789.98,NO HIT
2026-01-10 16:15:00,2026-01-10 17:15:00,BTC-USD,PULLBACK_TREND,Bearish,75,90528.03,90613.79,90356.52,LOSS
2026-01-10 21:45:00,,BTC-USD,BREAKOUT_TREND,Bearish,75,90386.55,90540.13,90048.69,NO HIT
2026-01-10 22:00:00,,BTC-USD,BREAKOUT_TREND,Bearish,75,90287.27,90540.94,89729.2,NO HIT
2026-01-11 14:30:00,,BTC-USD,BREAKOUT_TREND,Bullish,75,90924.74,90701.76,91415.31,NO HIT
2026-01-11 14:45:00,2026-01-11 15:45:00,BTC-USD,BREAKOUT_TREND,Bullish,86,91043.95,90700.27,91800.02,LOSS
2026-01-11 15:15:00,2026-01-11 15:45:00,BTC-USD,PULLBACK_TREND,Bullish,80,90848.71,90689.49,91167.16,LOSS
2026-01-11 16:45:00,,BTC-USD,PULLBACK_TREND,Bullish,80,90905.05,90583.14,91548.85,NO HIT
2026-01-11 23:15:00,,BTC-USD,PULLBACK_TREND,Bullish,75,90673.49,90180.74,91658.99,NO HIT
2026-01-12 00:15:00,,BTC-USD,BREAKOUT_TREND,Bullish,75,91031.95,90193.88,92875.71,NO HIT
2026-01-12 01:00:00,,BTC-USD,BREAKOUT_TREND,Bullish,75,91369.85,90524.46,93229.71,NO HIT
2026-01-12 02:15:00,,BTC-USD,BREAKOUT_TREND,Bullish,75,91588.39,90572.69,93822.94,NO HIT
2026-01-12 02:30:00,,BTC-USD,BREAKOUT_TREND,Bullish,75,91855.16,90572.11,94677.88,NO HIT
